"year","sequence","rider_name","team_name","position"
2002,1,"Rossi, Valentino","?",1
2002,1,"Ryo, Akira","?",2
2002,1,"Checa, Carlos","?",3
2002,1,"Ito, Shinichi","?",4
2002,1,"Abe, Norick","?",5
2002,1,"Barros, Alex","?",6
2002,1,"Aoki, Nobuatsu","?",7
2002,1,"Laconi, Regis","?",8
2002,1,"Capirossi, Loris","?",9
2002,1,"Kato, Daijiro","?",10
2002,1,"Harada, Tetsuya","?",11
2002,1,"Hopkins, John","?",12
2002,2,"Ukawa, Tohru","?",1
2002,2,"Rossi, Valentino","?",2
2002,2,"Capirossi, Loris","?",3
2002,2,"Kato, Daijiro","?",4
2002,2,"Checa, Carlos","?",5
2002,2,"Jacque, Olivier","?",6
2002,2,"Abe, Norick","?",7
2002,2,"Nakano, Shinya","?",8
2002,2,"Biaggi, Max","?",9
2002,2,"Mccoy, Garry","?",10
2002,2,"Vd Goorbergh, Jurgen","?",11
2002,2,"Harada, Tetsuya","?",12
2002,2,"Riba, Pere","?",13
2002,2,"Hopkins, John","?",14
2002,2,"Laconi, Regis","?",15
2002,2,"Gibernau, Sete","?",16
2002,3,"Rossi, Valentino","?",1
2002,3,"Kato, Daijiro","?",2
2002,3,"Ukawa, Tohru","?",3
2002,3,"Capirossi, Loris","?",4
2002,3,"Barros, Alex","?",5
2002,3,"Abe, Norick","?",6
2002,3,"Aoki, Nobuatsu","?",7
2002,3,"Roberts Jr, Kenny","?",8
2002,3,"Gibernau, Sete","?",9
2002,3,"Harada, Tetsuya","?",10
2002,3,"Jacque, Olivier","?",11
2002,3,"Vd Goorbergh, Jurgen","?",12
2002,3,"Hopkins, John","?",13
2002,3,"Laconi, Regis","?",14
2002,3,"Mccoy, Garry","?",15
2002,3,"Mcwilliams, Jeremy","?",16
2002,3,"Nakano, Shinya","?",17
2002,3,"Biaggi, Max","?",-3
2002,4,"Rossi, Valentino","?",1
2002,4,"Ukawa, Tohru","?",2
2002,4,"Biaggi, Max","?",3
2002,4,"Abe, Norick","?",4
2002,4,"Roberts Jr, Kenny","?",5
2002,4,"Aoki, Nobuatsu","?",6
2002,4,"Capirossi, Loris","?",7
2002,4,"Barros, Alex","?",8
2002,4,"Laconi, Regis","?",9
2002,4,"Mcwilliams, Jeremy","?",10
2002,4,"Hopkins, John","?",11
2002,4,"Gibernau, Sete","?",12
2002,4,"Nakano, Shinya","?",13
2002,4,"Bayle, Jean Michel","?",14
2002,4,"Vd Goorbergh, Jurgen","?",15
2002,4,"Cardoso, Jose Luis","?",16
2002,5,"Rossi, Valentino","?",1
